recorded;radonShortTermAvg (pCi/L);humidity (%);temp (°F)
2018-09-19T17:06:32;0.0;39.0;75.0
2018-09-19T18:06:32;0.0;38.5;75.0
2018-09-19T19:06:32;0.0;39.5;75.0
2018-09-19T20:06:32;0.0;38.5;76.0
2018-09-19T22:05:11;0.0;38.0;83.0
2018-09-19T23:12:43;0.0;37.0;77.0
2018-09-20T00:12:43;0.0;37.5;76.0
2018-09-20T01:12:43;0.0;38.5;76.0
2018-09-20T02:12:43;0.0;40.5;76.0
2018-09-20T03:12:43;0.0;39.5;78.0
2018-09-20T04:12:43;0.0;38.5;78.0
2018-09-20T05:12:43;0.0;38.0;78.0
2018-09-20T06:12:43;0.0;38.0;78.0
2018-09-20T07:12:43;0.1;38.0;78.0
2018-09-20T08:12:43;0.1;38.0;78.0
2018-09-20T09:12:43;0.1;38.0;77.0
2018-09-20T10:12:43;0.2;38.0;77.0
2018-09-20T11:12:43;0.2;38.5;77.0
2018-09-20T12:12:43;0.2;38.5;77.0
2018-09-20T13:12:43;0.2;38.5;76.0
2018-09-20T14:12:43;0.2;40.5;74.0
2018-09-20T15:12:43;0.2;42.0;74.0
2018-09-20T16:12:43;0.2;42.0;73.0
2018-09-20T17:12:43;0.2;44.5;73.0
2018-09-20T18:12:43;0.2;42.0;73.0
2018-09-20T19:12:43;0.2;42.0;73.0
2018-09-20T20:12:43;0.2;43.0;73.0
2018-09-20T21:12:43;0.2;43.5;73.0
2018-09-20T22:12:43;0.2;43.0;73.0
2018-09-20T23:12:43;0.4;41.5;73.0
2018-09-21T00:12:43;0.4;41.5;74.0
2018-09-21T01:12:43;0.4;42.5;74.0
2018-09-21T02:12:43;0.4;41.0;74.0
2018-09-21T03:12:43;0.4;41.0;75.0
2018-09-21T04:12:43;0.4;40.5;75.0
2018-09-21T05:12:43;0.4;40.0;75.0
2018-09-21T06:12:43;0.3;40.0;75.0
2018-09-21T07:12:43;0.3;40.0;75.0
2018-09-21T08:12:43;0.2;40.0;75.0
2018-09-21T09:12:43;0.2;40.0;75.0
2018-09-21T10:12:43;0.2;40.0;75.0
2018-09-21T11:12:43;0.2;40.0;75.0
2018-09-21T12:12:43;0.3;40.0;74.0
2018-09-21T13:12:43;0.3;40.5;74.0
2018-09-21T14:12:43;0.3;40.0;74.0
2018-09-21T15:12:43;0.3;40.0;74.0
2018-09-21T16:12:43;0.3;39.5;74.0
2018-09-21T17:12:43;0.3;39.5;74.0
2018-09-21T18:12:43;0.3;39.5;74.0
2018-09-21T19:12:43;0.3;40.0;74.0
2018-09-21T20:12:43;0.3;39.5;74.0
2018-09-21T21:12:43;0.4;39.0;74.0
2018-09-21T22:12:43;0.4;38.5;75.0
2018-09-21T23:12:43;0.2;37.5;75.0
2018-09-22T00:12:43;0.2;37.0;76.0
2018-09-22T01:12:43;0.2;36.0;76.0
2018-09-22T02:12:43;0.2;38.5;76.0
2018-09-22T03:12:43;0.2;37.5;76.0
2018-09-22T04:12:43;0.2;37.5;77.0
2018-09-22T05:12:43;0.2;38.0;77.0
2018-09-22T06:12:43;0.2;38.0;77.0
2018-09-22T07:12:43;0.2;38.0;77.0
2018-09-22T08:12:43;0.2;38.0;76.0
2018-09-22T09:12:43;0.2;38.0;76.0
2018-09-22T10:12:43;0.2;38.0;76.0
2018-09-22T11:12:43;0.3;38.0;76.0
2018-09-22T12:12:43;0.3;38.0;75.0
2018-09-22T13:12:43;0.2;38.0;75.0
2018-09-22T14:12:43;0.3;38.0;74.0
2018-09-22T15:12:43;0.3;38.5;74.0
2018-09-22T16:12:43;0.3;38.5;74.0
2018-09-22T17:12:43;0.3;38.5;74.0
2018-09-22T18:12:43;0.4;38.5;74.0
2018-09-22T19:12:43;0.4;38.0;75.0
2018-09-22T20:12:43;0.4;38.0;76.0
2018-09-22T21:12:43;0.4;37.5;77.0
2018-09-22T22:12:43;0.4;37.0;78.0
2018-09-22T23:12:43;0.4;36.0;80.0
2018-09-23T00:12:43;0.4;35.0;81.0
2018-09-23T01:12:43;0.4;34.5;82.0
2018-09-23T02:12:43;0.4;33.5;81.0
2018-09-23T03:12:43;0.4;34.0;81.0
2018-09-23T04:12:43;0.4;34.0;81.0
2018-09-23T05:12:43;0.4;34.0;80.0
2018-09-23T06:12:43;0.4;34.0;80.0
2018-09-23T07:12:43;0.4;34.5;79.0
2018-09-23T08:12:43;0.3;35.0;78.0
2018-09-23T09:12:43;0.3;35.0;78.0
2018-09-23T10:12:43;0.3;35.5;78.0
2018-09-23T11:12:43;0.2;35.5;77.0
2018-09-23T12:12:43;0.3;35.5;77.0
2018-09-23T13:12:43;0.3;35.5;77.0
2018-09-23T14:12:43;0.4;36.0;76.0
2018-09-23T15:12:43;0.6;36.5;76.0
2018-09-23T16:12:43;0.6;36.5;76.0
2018-09-23T17:12:43;0.6;36.5;76.0
2018-09-23T18:12:43;0.6;37.0;76.0
2018-09-23T19:12:43;0.7;37.0;77.0
2018-09-23T20:12:43;0.7;37.0;78.0
2018-09-23T21:12:43;0.7;36.5;80.0
2018-09-23T22:12:43;0.8;35.5;81.0
2018-09-23T23:12:43;0.9;33.5;82.0
2018-09-24T00:12:43;1.0;32.5;83.0
2018-09-24T01:12:43;1.1;31.0;83.0
2018-09-24T02:12:43;1.2;30.5;84.0
2018-09-24T03:12:43;1.3;30.0;83.0
2018-09-24T04:12:43;1.4;30.0;83.0
2018-09-24T05:12:43;1.4;30.0;83.0
2018-09-24T06:12:43;1.5;30.0;82.0
2018-09-24T07:12:43;1.5;30.0;82.0
2018-09-24T08:12:43;1.5;30.0;81.0
2018-09-24T09:12:43;1.5;30.0;81.0
2018-09-24T10:12:43;1.5;30.0;80.0
2018-09-24T11:12:43;1.6;30.0;80.0
2018-09-24T12:12:43;1.5;30.0;79.0
2018-09-24T13:12:43;1.6;30.0;75.0
2018-09-24T14:12:43;1.4;32.0;74.0
2018-09-24T15:12:43;1.2;31.5;73.0
2018-09-24T16:12:43;1.2;32.5;73.0
2018-09-24T17:12:43;1.2;33.0;74.0
2018-09-24T18:12:43;1.2;32.5;74.0
2018-09-24T19:12:43;1.2;32.0;75.0
2018-09-24T20:12:43;1.1;31.0;76.0
2018-09-24T21:12:43;1.0;30.5;76.0
2018-09-24T22:12:43;0.9;30.5;76.0
2018-09-24T23:12:43;0.9;30.5;76.0
2018-09-25T00:12:43;0.8;30.0;76.0
